date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:28	116/116	---MC-	200	added ('OK')	text/plain	date:Sat,%2014%20Sep%202024%2001:34:27%20GMT	https://sitesdanet.shop/robots.txt		(from )
22:34:28	63700/63700	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2001:34:28%20GMT	https://sitesdanet.shop/slimgota1/?gad_source=1	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/slimgota1/indexa86a.html	(from )
22:34:29	58517/58517	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202024%2005:59:27%20GMT	https://sitesdanet.shop/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities.css?ver=2.4.1	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities8066.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:30	2782/2782	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jun%202024%2017:53:10%20GMT	https://sitesdanet.shop/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1718733190	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min5964.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:31	60705/60705	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202024%2017:52:27%20GMT	https://sitesdanet.shop/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.2	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/elementor/assets/css/frontend.min81e1.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:31	16471/16471	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202024%2017:52:28%20GMT	https://sitesdanet.shop/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:32	10260/10260	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202024%2017:52:27%20GMT	https://sitesdanet.shop/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.2	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min81e1.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:32	1107/1107	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202024%2017:59:55%20GMT	https://sitesdanet.shop/wp-content/uploads/elementor/css/post-7.css?ver=1719251995	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/uploads/elementor/css/post-75af7.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:34	9475/9475	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jun%202024%2017:59:56%20GMT	https://sitesdanet.shop/wp-content/uploads/elementor/css/global.css?ver=1719251996	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/uploads/elementor/css/global0e37.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:35	18468/18468	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202024%2017:52:28%20GMT	https://sitesdanet.shop/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.24.2	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/elementor/assets/lib/animations/animations.min81e1.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:35	15239/15239	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2012:53:50%20GMT	https://sitesdanet.shop/wp-content/uploads/elementor/css/post-526.css?ver=1725368030	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/uploads/elementor/css/post-5261d50.css	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:36	6448/6448	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202024%2017:50:27%20GMT	https://sitesdanet.shop/wp-content/plugins/burst-statistics/helpers/timeme/timeme.min.js?ver=1.7.1	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/burst-statistics/helpers/timeme/timeme.min4735.js	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:37	7299/7299	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202024%2017:50:27%20GMT	https://sitesdanet.shop/wp-content/plugins/burst-statistics/assets/js/build/burst.min.js?ver=1.7.1	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/burst-statistics/assets/js/build/burst.min4735.js	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
22:34:37	2182/2182	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Sep%202024%2005:59:27%20GMT	https://sitesdanet.shop/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities.js?ver=2.4.1	C:/Users/jobsd/Documents/HTTrack/slim%20gota/sitesdanet.shop/wp-content/plugins/wp-plugin-hostgator/vendor/newfold-labs/wp-module-patterns/assets/build/utilities8066.js	(from https://sitesdanet.shop/slimgota1/?gad_source=1)
